"long","lat","pov"
0.210504868405556,0.57974342325,1
0.210504868405556,0.57974342325,1
0.210504868405556,0.57974342325,0
0.210504868405556,0.57974342325,1
0.210504868405556,0.57974342325,0
0.210504868405556,0.57974342325,1
0.210504868405556,0.57974342325,1
0.210504868405556,0.57974342325,1
0.210504868405556,0.57974342325,1
0.210504868405556,0.57974342325,0
0.210504868405556,0.57974342325,1
0.210504868405556,0.57974342325,1
0.212279177327778,0.579381053736667,1
0.212279177327778,0.579381053736667,0
0.212279177327778,0.579381053736667,1
0.212279177327778,0.579381053736667,0
0.212279177327778,0.579381053736667,1
0.212279177327778,0.579381053736667,1
0.212279177327778,0.579381053736667,1
0.212279177327778,0.579381053736667,1
0.212279177327778,0.579381053736667,1
0.212279177327778,0.579381053736667,1
0.212279177327778,0.579381053736667,1
0.212279177327778,0.579381053736667,1
0.213743528068889,0.578387560114444,0
0.213743528068889,0.578387560114444,0
0.213743528068889,0.578387560114444,0
0.213743528068889,0.578387560114444,1
0.213743528068889,0.578387560114444,0
0.213743528068889,0.578387560114444,0
0.213743528068889,0.578387560114444,1
0.213743528068889,0.578387560114444,0
0.213743528068889,0.578387560114444,0
0.213743528068889,0.578387560114444,0
0.213743528068889,0.578387560114444,1
0.213743528068889,0.578387560114444,0
0.213779583552778,0.576911577945,1
0.213779583552778,0.576911577945,1
0.213779583552778,0.576911577945,1
0.213779583552778,0.576911577945,1
0.213779583552778,0.576911577945,0
0.213779583552778,0.576911577945,0
0.213779583552778,0.576911577945,1
0.213779583552778,0.576911577945,1
0.213779583552778,0.576911577945,1
0.213779583552778,0.576911577945,1
0.213779583552778,0.576911577945,1
0.213779583552778,0.576911577945,1
0.211017703025,0.578257089012222,1
0.211017703025,0.578257089012222,1
0.211017703025,0.578257089012222,1
0.211017703025,0.578257089012222,1
0.211017703025,0.578257089012222,0
0.211017703025,0.578257089012222,0
0.211017703025,0.578257089012222,0
0.211017703025,0.578257089012222,1
0.211017703025,0.578257089012222,1
0.211017703025,0.578257089012222,0
0.211017703025,0.578257089012222,0
0.211017703025,0.578257089012222,1
0.211773234636111,0.575791762088889,1
0.211773234636111,0.575791762088889,1
0.211773234636111,0.575791762088889,0
0.211773234636111,0.575791762088889,1
0.211773234636111,0.575791762088889,0
0.211773234636111,0.575791762088889,1
0.211773234636111,0.575791762088889,0
0.211773234636111,0.575791762088889,1
0.211773234636111,0.575791762088889,0
0.211773234636111,0.575791762088889,1
0.211773234636111,0.575791762088889,1
0.211773234636111,0.575791762088889,0
0.21429453179,0.579352599551667,1
0.21429453179,0.579352599551667,1
0.21429453179,0.579352599551667,1
0.21429453179,0.579352599551667,1
0.21429453179,0.579352599551667,1
0.21429453179,0.579352599551667,1
0.21429453179,0.579352599551667,1
0.21429453179,0.579352599551667,1
0.21429453179,0.579352599551667,1
0.21429453179,0.579352599551667,1
0.21429453179,0.579352599551667,1
0.21429453179,0.579352599551667,1
0.216997162576111,0.579448866370555,0
0.216997162576111,0.579448866370555,0
0.216997162576111,0.579448866370555,0
0.216997162576111,0.579448866370555,1
0.216997162576111,0.579448866370555,1
0.216997162576111,0.579448866370555,1
0.216997162576111,0.579448866370555,1
0.216997162576111,0.579448866370555,0
0.216997162576111,0.579448866370555,1
0.216997162576111,0.579448866370555,1
0.216997162576111,0.579448866370555,1
0.216997162576111,0.579448866370555,1
0.217921374708333,0.57865753691,1
0.217921374708333,0.57865753691,1
0.217921374708333,0.57865753691,1
0.217921374708333,0.57865753691,1
0.217921374708333,0.57865753691,1
0.217921374708333,0.57865753691,1
0.217921374708333,0.57865753691,1
0.217921374708333,0.57865753691,0
0.217921374708333,0.57865753691,1
0.217921374708333,0.57865753691,1
0.217921374708333,0.57865753691,1
0.217921374708333,0.57865753691,0
0.216530598413333,0.578255429558889,1
0.216530598413333,0.578255429558889,0
0.216530598413333,0.578255429558889,1
0.216530598413333,0.578255429558889,1
0.216530598413333,0.578255429558889,0
0.216530598413333,0.578255429558889,1
0.216530598413333,0.578255429558889,1
0.216530598413333,0.578255429558889,0
0.216530598413333,0.578255429558889,1
0.216530598413333,0.578255429558889,1
0.216530598413333,0.578255429558889,0
0.216530598413333,0.578255429558889,0
0.214718327875556,0.577699705211111,0
0.214718327875556,0.577699705211111,1
0.214718327875556,0.577699705211111,0
0.214718327875556,0.577699705211111,1
0.214718327875556,0.577699705211111,0
0.214718327875556,0.577699705211111,1
0.214718327875556,0.577699705211111,0
0.214718327875556,0.577699705211111,0
0.214718327875556,0.577699705211111,1
0.214718327875556,0.577699705211111,0
0.214718327875556,0.577699705211111,1
0.214718327875556,0.577699705211111,1
0.214648281675556,0.577062993185556,1
0.214648281675556,0.577062993185556,1
0.214648281675556,0.577062993185556,1
0.214648281675556,0.577062993185556,1
0.214648281675556,0.577062993185556,0
0.214648281675556,0.577062993185556,0
0.214648281675556,0.577062993185556,0
0.214648281675556,0.577062993185556,0
0.214648281675556,0.577062993185556,0
0.214648281675556,0.577062993185556,0
0.214648281675556,0.577062993185556,1
0.214648281675556,0.577062993185556,0
0.216591732456667,0.576562925338889,0
0.216591732456667,0.576562925338889,0
0.216591732456667,0.576562925338889,1
0.216591732456667,0.576562925338889,0
0.216591732456667,0.576562925338889,1
0.216591732456667,0.576562925338889,1
0.216591732456667,0.576562925338889,1
0.216591732456667,0.576562925338889,1
0.216591732456667,0.576562925338889,0
0.216591732456667,0.576562925338889,1
0.216591732456667,0.576562925338889,1
0.216591732456667,0.576562925338889,0
0.217788341417222,0.576065682033333,1
0.217788341417222,0.576065682033333,1
