"rural","hh_size","hh_s10q01.Kerosene.stove","Butane.Gas.Stove","Electric.Stove","Blanket.Gabi","Mattress.and...or.Bed","Wrist.watch...clock","Fixed.line.telephone","Mobile.telephone","Radio..radio.and.tape..tape","Television","CD..VCD..DVD...Video.Deck","Satellite.Dish","Sofa.set","Bicycle","Motorcycle","Cart..hand.pushed.","Cart..animal.drawn.","Sewing.machine","Weaving.equipment","Mitad.Electric","Mitad.power.saving..modern.","Refridgerator","Private.car","Jewels..Gold.and.silver.","Wardrobe","Shelf.for.storing.goods","Biogas.stove..pit.","Water.storage.pit","Mofer.and.Kember","Sickle..Machid.","Axe..Gejera.","Pick.Axe..Geso.","Plough..traditional.","Plough..modern.","Water.Pump","dist_road","dist_popcenter","dist_market","dist_borderpost","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","fsrad3_agpct","srtm","twi","anntot_avg","wetQ_avg","wetQ_avgstart","h2011_tot","h2011_wetQ","h2011_wetQstart","eviarea_avg","evimax_avg","grn_avg","sen_avg","h2011_eviarea","h2011_evimax","h2011_grn","h2011_sen","LAT_DD_MOD","LON_DD_MOD","saq011","saq012","saq013","saq014","saq015","saq016","saq017","saq0112","saq0113","saq0115","qa_type1","qa_type2","qa_type3","qa_type5","fsrad3_lcmajRainfed Croplands","fsrad3_lcmajMosaic cropland(50-70%)/vegetation(20-50%)","fsrad3_lcmajMosaic Vegetation(50-70%)/cropland(20-50%)","fsrad3_lcmajOpen(15-40%)broadleaved decidious forest/woodland(<5m)","fsrad3_lcmajMosaic forest or shrubland(50-70%)/grassland(20-50%)","fsrad3_lcmajMosaic grassland(50-70%)/forest or shrubland(20-50%)","fsrad3_lcmajClosed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)","fsrad3_lcmajClosed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)","fsrad3_lcmajSparse (<15%) vegetation","fsrad3_lcmajClosed to open(>15%)grassland-fresh/brackish/saline water","fsrad3_lcmajBare areas","ssa_aez09Tropic-warm/arid","ssa_aez09Tropic-warm/semiarid","ssa_aez09Tropic-warm/subhumid","ssa_aez09Tropic-warm/humid","ssa_aez09Tropic-cool/arid","ssa_aez09Tropic-cool/semiarid","ssa_aez09Tropic-cool/subhumid","ssa_aez09Tropic-cool/humid","srtm_5_15Plains","srtm_5_15Mid-altitude Plains","srtm_5_15High-altitude Plains","srtm_5_15Platform(very low plateaus)","srtm_5_15Low Plateaus","srtm_5_15Mid-altitude Plateaus","srtm_5_15High Plateaus","srtm_5_15Hills","srtm_5_15Low Mountains","srtm_5_15Mid-altitude Mountains","srtm_5_15High Mountains","sq1No or Slight Constraint","sq1Moderate Constraint","sq1Severe Constraint","sq1Very Severe Constraint","sq1Mainly Non-Soil","sq1Water","sq2No or Slight Constraint","sq2Moderate Constraint","sq2Severe Constraint","sq2Very Severe Constraint","sq2Mainly Non-Soil","sq2Water","sq3No or Slight Constraint","sq3Moderate Constraint","sq3Severe Constraint","sq3Very Severe Constraint","sq3Mainly Non-Soil","sq3Water","sq4No or Slight Constraint","sq4Moderate Constraint","sq4Severe Constraint","sq4Very Severe Constraint","sq4Mainly Non-Soil","sq4Water","sq5No or Slight Constraint","sq5Moderate Constraint","sq5Severe Constraint","sq5Very Severe Constraint","sq5Mainly Non-Soil","sq5Water","sq6No or Slight Constraint","sq6Moderate Constraint","sq6Severe Constraint","sq6Very Severe Constraint","sq6Mainly Non-Soil","sq6Water","sq7No or Slight Constraint","sq7Moderate Constraint","sq7Severe Constraint","sq7Very Severe Constraint","sq7Mainly Non-Soil","sq7Water","zone_id101","zone_id102","zone_id103","zone_id104","zone_id105","zone_id201","zone_id203","zone_id301","zone_id302","zone_id303","zone_id304","zone_id305","zone_id306","zone_id307","zone_id308","zone_id309","zone_id310","zone_id312","zone_id401","zone_id402","zone_id403","zone_id404","zone_id405","zone_id406","zone_id407","zone_id408","zone_id409","zone_id410","zone_id411","zone_id412","zone_id413","zone_id414","zone_id417","zone_id418","zone_id419","zone_id501","zone_id502","zone_id509","zone_id602","zone_id603","zone_id604","zone_id606","zone_id701","zone_id702","zone_id703","zone_id704","zone_id705","zone_id706","zone_id707","zone_id708","zone_id709","zone_id710","zone_id711","zone_id712","zone_id713","zone_id714","zone_id715","zone_id716","zone_id717","zone_id718","zone_id719","zone_id720","zone_id721","zone_id1201","zone_id1202","zone_id1203","zone_id1204","zone_id1301","zone_id1501","poverty"
1,0.533333333333333,0.666666666666667,0,0,0,0.25,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.166666666666667,0.2,0.1,0,0.25,0,0,0.207851239669421,0.248482017748716,0.37169078715143,0.267372204472843,0.256629155348597,0.897959183673469,0.808777429467085,0.344165435745938,0.488839285714286,0.443412162162162,0.56701030927835,0.333131984294775,0.361111111111111,0.551745635910224,0.856626506024096,0.9,0.768256333830104,0.80166270783848,1,0.701492537313433,0.663873228706384,0.674242424242424,0.80564263322884,0.506172839506173,0.530135823429542,0.685185185185185,0.781065088757396,0.992934028723515,0.863695189106823,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.466666666666667,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.16,0,0,0.166666666666667,0,0,0.206611570247934,0.247080803362915,0.372749735262972,0.268769968051118,0.256111757857974,0.894557823129252,0.80564263322884,0.34465780403742,0.488839285714286,0.444256756756757,0.494845360824742,0.3325279371791,0.361111111111111,0.551122194513716,0.85421686746988,0.9,0.769746646795827,0.800475059382423,1,0.701492537313433,0.663873228706384,0.674242424242424,0.80564263322884,0.506172839506173,0.530135823429542,0.685185185185185,0.781065088757396,0.992934028723515,0.863695189106823,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0666666666666667,0.333333333333333,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0.190082644628099,0.229799159271369,0.353335686551359,0.269768370607029,0.251713879187686,0.891156462585034,0.802507836990596,0.354997538158543,0.504464285714286,0.458614864864865,0.804123711340206,0.349743279975838,0.333333333333333,0.557980049875312,0.867469879518072,0.9,0.77123695976155,0.811163895486936,1,0.701492537313433,0.663873228706384,0.674242424242424,0.80564263322884,0.506172839506173,0.530135823429542,0.685185185185185,0.781065088757396,0.992934028723515,0.863695189106823,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.266666666666667,0.333333333333333,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190082644628099,0.229799159271369,0.353335686551359,0.269768370607029,0.251713879187686,0.891156462585034,0.802507836990596,0.354997538158543,0.504464285714286,0.458614864864865,0.804123711340206,0.349743279975838,0.333333333333333,0.557980049875312,0.867469879518072,0.9,0.77123695976155,0.811163895486936,1,0.701492537313433,0.663873228706384,0.674242424242424,0.80564263322884,0.506172839506173,0.530135823429542,0.685185185185185,0.781065088757396,0.992934028723515,0.863695189106823,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.266666666666667,0,0,0,0.125,0.166666666666667,0,0,0.142857142857143,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.0833333333333333,0.04,0.1,0,0.0833333333333333,0,0,0.190495867768595,0.230266230733302,0.353335686551359,0.269568690095847,0.251972577932997,0.891156462585034,0.802507836990596,0.354997538158543,0.504464285714286,0.458614864864865,0.876288659793814,0.350951374207188,0.361111111111111,0.55860349127182,0.867469879518072,0.9,0.77123695976155,0.811163895486936,1,0.701492537313433,0.663873228706384,0.674242424242424,0.80564263322884,0.506172839506173,0.530135823429542,0.685185185185185,0.781065088757396,0.992934028723515,0.863695189106823,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.266666666666667,0,0,0,0,0.0833333333333333,0,0,0,0,0.333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.25,0,0,0,0,0,0,0,0,0,0.190082644628099,0.230266230733302,0.352982703847511,0.269568690095847,0.251843228560341,0.891156462585034,0.802507836990596,0.354997538158543,0.504464285714286,0.458614864864865,0.896907216494845,0.347629115070976,0.416666666666667,0.55860349127182,0.867469879518072,0.9,0.77123695976155,0.812351543942993,1,0.701492537313433,0.663873228706384,0.674242424242424,0.80564263322884,0.506172839506173,0.530135823429542,0.685185185185185,0.781065088757396,0.992934028723515,0.863695189106823,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.333333333333333,0,0.5,0,0.0625,0.0833333333333333,0,0,0.142857142857143,0.25,0.333333333333333,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.0833333333333333,0,0,0.191322314049587,0.23120037365717,0.354747617366749,0.269568690095847,0.252101927305653,0.891156462585034,0.802507836990596,0.354997538158543,0.504464285714286,0.458614864864865,0.835051546391753,0.348837209302326,0.333333333333333,0.557980049875312,0.866265060240964,0.9,0.77123695976155,0.811163895486936,1,0.701492537313433,0.663873228706384,0.674242424242424,0.80564263322884,0.506172839506173,0.530135823429542,0.685185185185185,0.781065088757396,0.992934028723515,0.863695189106823,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.266666666666667,0.333333333333333,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.08,0.1,0.153846153846154,0.0833333333333333,0.0333333333333333,0,0.193388429752066,0.233535730966838,0.353688669255206,0.267771565495208,0.252878023541586,0.891156462585034,0.802507836990596,0.353028064992614,0.5,0.455236486486487,0.88659793814433,0.341588643914225,0.361111111111111,0.559226932668329,0.868674698795181,0.9,0.770491803278688,0.814726840855107,1,0.701492537313433,0.663873228706384,0.674242424242424,0.80564263322884,0.506172839506173,0.530135823429542,0.685185185185185,0.781065088757396,0.992934028723515,0.863695189106823,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.266666666666667,0,0,0,0.0625,0.166666666666667,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.12,0.1,0.0769230769230769,0.0833333333333333,0,0,0.19504132231405,0.235404016814573,0.357571478997529,0.268370607028754,0.253266071659552,0.891156462585034,0.802507836990596,0.351550960118168,0.497767857142857,0.452702702702703,0.639175257731959,0.347327091513138,0.333333333333333,0.557356608478803,0.865060240963855,0.9,0.770491803278688,0.811163895486936,1,0.701492537313433,0.663873228706384,0.674242424242424,0.80564263322884,0.506172839506173,0.530135823429542,0.685185185185185,0.781065088757396,0.992934028723515,0.863695189106823,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0666666666666667,0.333333333333333,0,0,0.0625,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.1,0,0.0833333333333333,0,0,0.192561983471074,0.232601588042971,0.354394634662901,0.268570287539936,0.252619324796275,0.891156462585034,0.802507836990596,0.353028064992614,0.5,0.455236486486487,0.917525773195876,0.344910903050438,0.388888888888889,0.55860349127182,0.867469879518072,0.9,0.770491803278688,0.81353919239905,1,0.701492537313433,0.663873228706384,0.674242424242424,0.80564263322884,0.506172839506173,0.530135823429542,0.685185185185185,0.781065088757396,0.992934028723515,0.863695189106823,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
