country,year,US$1.25/day (%),US$2/day (%),GDP per capita PPP ($)
Uganda,2002,56.6,79.3,
Uganda,2005,51.7,75.7,
Uganda,2009,37.9,64.7,
Uganda,2011,,,1607
Uganda,2012,37.8,62.9,1622
Uganda,2013,,,1621
Uganda,2014,,,1638
