columnType,budgetType,value,year,vote,sp_pj,page,programme
Wage,Recurrent Budget Estimates,"37,686,969",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
Non Wage,Recurrent Budget Estimates,"24,529,528",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
Total,Recurrent Budget Estimates,"62,216,497",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
Wage,Recurrent Budget Estimates,"37,686,969",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
Non Wage,Recurrent Budget Estimates,"23,127,113",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
GoU Dev't,Development Budget Estimates,"37,686,969",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
External Fin,Development Budget Estimates,"24,529,528",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
Total,Development Budget Estimates,"62,216,497",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
GoU Dev't,Development Budget Estimates,"37,686,969",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
External Fin,Development Budget Estimates,"23,127,113",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 08 Internal Security Organisation,103,Programmme 11   Strengthening  Internal security
Wage,Recurrent Budget Estimates,"41,195",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 03 Monitoring & Evaluation,108,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"582,000",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 03 Monitoring & Evaluation,108,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 03 Monitoring & Evaluation,108,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Total,Recurrent Budget Estimates,"623,195",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 03 Monitoring & Evaluation,108,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"41,195",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 03 Monitoring & Evaluation,108,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"480,304",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 03 Monitoring & Evaluation,108,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 03 Monitoring & Evaluation,108,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"43,751",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 04 Monitoring & Inspection,109,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"297,979",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 04 Monitoring & Inspection,109,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 04 Monitoring & Inspection,109,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Total,Recurrent Budget Estimates,"341,730",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 04 Monitoring & Inspection,109,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"43,751",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 04 Monitoring & Inspection,109,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"277,979",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 04 Monitoring & Inspection,109,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 04 Monitoring & Inspection,109,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"42,783",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 05 Economic Affairs and Policy Development,110,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"520,000",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 05 Economic Affairs and Policy Development,110,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 05 Economic Affairs and Policy Development,110,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Total,Recurrent Budget Estimates,"562,783",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 05 Economic Affairs and Policy Development,110,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"42,783",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 05 Economic Affairs and Policy Development,110,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"410,000",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 05 Economic Affairs and Policy Development,110,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 05 Economic Affairs and Policy Development,110,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"53,673",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 12 Manifesto Implementation Unit,110,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"140,943",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 12 Manifesto Implementation Unit,110,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 12 Manifesto Implementation Unit,110,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Total,Recurrent Budget Estimates,"194,617",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 12 Manifesto Implementation Unit,110,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"53,673",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 12 Manifesto Implementation Unit,110,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"140,943",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 12 Manifesto Implementation Unit,110,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 12 Manifesto Implementation Unit,110,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"334,386",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 07 Cabinet Secretariat,112,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"3,125,449",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 07 Cabinet Secretariat,112,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 07 Cabinet Secretariat,112,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Total,Recurrent Budget Estimates,"3,459,835",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 07 Cabinet Secretariat,112,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"334,386",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 07 Cabinet Secretariat,112,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"3,095,449",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 07 Cabinet Secretariat,112,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 07 Cabinet Secretariat,112,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 01 Headquarters (Media Centre and RDCs),113,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"11,971,645",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 01 Headquarters (Media Centre and RDCs),113,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 01 Headquarters (Media Centre and RDCs),113,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Total,Recurrent Budget Estimates,"11,971,645",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 01 Headquarters (Media Centre and RDCs),113,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 01 Headquarters (Media Centre and RDCs),113,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"10,301,422",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 01 Headquarters (Media Centre and RDCs),113,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 01 Headquarters (Media Centre and RDCs),113,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"61,000",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 13 Presidential Awards Committee,113,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"289,000",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 13 Presidential Awards Committee,113,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 13 Presidential Awards Committee,113,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Total,Recurrent Budget Estimates,"350,000",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 13 Presidential Awards Committee,113,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"61,000",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 13 Presidential Awards Committee,113,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"289,000",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 13 Presidential Awards Committee,113,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 13 Presidential Awards Committee,113,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 01 Headquarters (Security Sector Coordination),114,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"5,940,034",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 01 Headquarters (Security Sector Coordination),114,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 01 Headquarters (Security Sector Coordination),114,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Total,Recurrent Budget Estimates,"5,940,034",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 01 Headquarters (Security Sector Coordination),114,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 01 Headquarters (Security Sector Coordination),114,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"8,056,516",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 01 Headquarters (Security Sector Coordination),114,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 01 Headquarters (Security Sector Coordination),114,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"10,129,756",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 01 Headquarters,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"14,114,572",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 01 Headquarters,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 01 Headquarters,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Total,Recurrent Budget Estimates,"24,244,328",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 01 Headquarters,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"10,343,069",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 01 Headquarters,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,"17,764,338",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 01 Headquarters,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 01 Headquarters,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"85,200",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 10 Statutory,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 10 Statutory,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 10 Statutory,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Total,Recurrent Budget Estimates,"85,200",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 10 Statutory,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"85,200",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 10 Statutory,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Non Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 10 Statutory,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 10 Statutory,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
GoU Dev't,Development Budget Estimates,"85,200",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 10 Statutory,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
External Fin,Development Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 10 Statutory,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 10 Statutory,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Total,Development Budget Estimates,"85,200",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 10 Statutory,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
GoU Dev't,Development Budget Estimates,"85,200",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 10 Statutory,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
External Fin,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 10 Statutory,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 10 Statutory,117,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
GoU Dev't,Development Budget Estimates,"85,200",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 10 Statutory,118,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
External Fin,Development Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 10 Statutory,118,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 10 Statutory,118,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Total,Development Budget Estimates,"85,200",2016/17 Approved Budget,Vote:001 Office of the President,SubProgramme 10 Statutory,118,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
GoU Dev't,Development Budget Estimates,"85,200",2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 10 Statutory,118,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
External Fin,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 10 Statutory,118,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:001 Office of the President,SubProgramme 10 Statutory,118,"Programmme 01  Oversight, Monitoring and Evaluation & Inspectionof policies and programs"
Wage,Recurrent Budget Estimates,"12,293,325",2016/17 Approved Budget,Vote:002 State House,SubProgramme 01 Headquarters,125,Programmme 11  Logistical and Administrative Support to the Presidency
Non Wage,Recurrent Budget Estimates,"220,096,261",2016/17 Approved Budget,Vote:002 State House,SubProgramme 01 Headquarters,125,Programmme 11  Logistical and Administrative Support to the Presidency
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 01 Headquarters,125,Programmme 11  Logistical and Administrative Support to the Presidency
Total,Recurrent Budget Estimates,"232,389,586",2016/17 Approved Budget,Vote:002 State House,SubProgramme 01 Headquarters,125,Programmme 11  Logistical and Administrative Support to the Presidency
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:002 State House,SubProgramme 01 Headquarters,125,Programmme 11  Logistical and Administrative Support to the Presidency
Non Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:002 State House,SubProgramme 01 Headquarters,125,Programmme 11  Logistical and Administrative Support to the Presidency
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:002 State House,SubProgramme 01 Headquarters,125,Programmme 11  Logistical and Administrative Support to the Presidency
Wage,Recurrent Budget Estimates,"397,904",2016/17 Approved Budget,Vote:002 State House,SubProgramme 02 Support to  Vice President,128,Programmme 11  Logistical and Administrative Support to the Presidency
Non Wage,Recurrent Budget Estimates,"6,541,840",2016/17 Approved Budget,Vote:002 State House,SubProgramme 02 Support to  Vice President,128,Programmme 11  Logistical and Administrative Support to the Presidency
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 02 Support to  Vice President,128,Programmme 11  Logistical and Administrative Support to the Presidency
Total,Recurrent Budget Estimates,"6,939,744",2016/17 Approved Budget,Vote:002 State House,SubProgramme 02 Support to  Vice President,128,Programmme 11  Logistical and Administrative Support to the Presidency
Wage,Recurrent Budget Estimates,"397,904",2017/18 Draft Estimates,Vote:002 State House,SubProgramme 02 Support to  Vice President,128,Programmme 11  Logistical and Administrative Support to the Presidency
Non Wage,Recurrent Budget Estimates,"6,019,415",2017/18 Draft Estimates,Vote:002 State House,SubProgramme 02 Support to  Vice President,128,Programmme 11  Logistical and Administrative Support to the Presidency
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:002 State House,SubProgramme 02 Support to  Vice President,128,Programmme 11  Logistical and Administrative Support to the Presidency
Wage,Recurrent Budget Estimates,"19,588",2016/17 Approved Budget,Vote:002 State House,SubProgramme 04 Internal Audit,128,Programmme 11  Logistical and Administrative Support to the Presidency
Non Wage,Recurrent Budget Estimates,"71,778",2016/17 Approved Budget,Vote:002 State House,SubProgramme 04 Internal Audit,128,Programmme 11  Logistical and Administrative Support to the Presidency
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 04 Internal Audit,128,Programmme 11  Logistical and Administrative Support to the Presidency
Total,Recurrent Budget Estimates,"91,366",2016/17 Approved Budget,Vote:002 State House,SubProgramme 04 Internal Audit,128,Programmme 11  Logistical and Administrative Support to the Presidency
Wage,Recurrent Budget Estimates,"19,588",2017/18 Draft Estimates,Vote:002 State House,SubProgramme 04 Internal Audit,128,Programmme 11  Logistical and Administrative Support to the Presidency
Non Wage,Recurrent Budget Estimates,"66,778",2017/18 Draft Estimates,Vote:002 State House,SubProgramme 04 Internal Audit,128,Programmme 11  Logistical and Administrative Support to the Presidency
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:002 State House,SubProgramme 04 Internal Audit,128,Programmme 11  Logistical and Administrative Support to the Presidency
Wage,Recurrent Budget Estimates,"514,360",2016/17 Approved Budget,Vote:002 State House,SubProgramme 05 Medicines and Health Services Delivery Monitoring,129,Programmme 11  Logistical and Administrative Support to the Presidency
Non Wage,Recurrent Budget Estimates,"891,000",2016/17 Approved Budget,Vote:002 State House,SubProgramme 05 Medicines and Health Services Delivery Monitoring,129,Programmme 11  Logistical and Administrative Support to the Presidency
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 05 Medicines and Health Services Delivery Monitoring,129,Programmme 11  Logistical and Administrative Support to the Presidency
Total,Recurrent Budget Estimates,"1,405,360",2016/17 Approved Budget,Vote:002 State House,SubProgramme 05 Medicines and Health Services Delivery Monitoring,129,Programmme 11  Logistical and Administrative Support to the Presidency
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:002 State House,SubProgramme 05 Medicines and Health Services Delivery Monitoring,129,Programmme 11  Logistical and Administrative Support to the Presidency
Non Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:002 State House,SubProgramme 05 Medicines and Health Services Delivery Monitoring,129,Programmme 11  Logistical and Administrative Support to the Presidency
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:002 State House,SubProgramme 05 Medicines and Health Services Delivery Monitoring,129,Programmme 11  Logistical and Administrative Support to the Presidency
Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 06  Administration and Support to the President,132,Programmme 11  Logistical and Administrative Support to the Presidency
Non Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 06  Administration and Support to the President,132,Programmme 11  Logistical and Administrative Support to the Presidency
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 06  Administration and Support to the President,132,Programmme 11  Logistical and Administrative Support to the Presidency
Total,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 06  Administration and Support to the President,132,Programmme 11  Logistical and Administrative Support to the Presidency
Wage,Recurrent Budget Estimates,"12,800,751",2017/18 Draft Estimates,Vote:002 State House,SubProgramme 06  Administration and Support to the President,132,Programmme 11  Logistical and Administrative Support to the Presidency
Non Wage,Recurrent Budget Estimates,"209,052,102",2017/18 Draft Estimates,Vote:002 State House,SubProgramme 06  Administration and Support to the President,132,Programmme 11  Logistical and Administrative Support to the Presidency
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:002 State House,SubProgramme 06  Administration and Support to the President,132,Programmme 11  Logistical and Administrative Support to the Presidency
Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 07 Presidential Initiatives,133,Programmme 11  Logistical and Administrative Support to the Presidency
Non Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 07 Presidential Initiatives,133,Programmme 11  Logistical and Administrative Support to the Presidency
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 07 Presidential Initiatives,133,Programmme 11  Logistical and Administrative Support to the Presidency
Total,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 07 Presidential Initiatives,133,Programmme 11  Logistical and Administrative Support to the Presidency
Wage,Recurrent Budget Estimates,"514,360",2017/18 Draft Estimates,Vote:002 State House,SubProgramme 07 Presidential Initiatives,133,Programmme 11  Logistical and Administrative Support to the Presidency
Non Wage,Recurrent Budget Estimates,"4,357,930",2017/18 Draft Estimates,Vote:002 State House,SubProgramme 07 Presidential Initiatives,133,Programmme 11  Logistical and Administrative Support to the Presidency
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:002 State House,SubProgramme 07 Presidential Initiatives,133,Programmme 11  Logistical and Administrative Support to the Presidency
GoU Dev't,Development Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 07 Presidential Initiatives,133,Programmme 11  Logistical and Administrative Support to the Presidency
External Fin,Development Budget Estimates,0,2016/17 Approved Budget,Vote:002 State House,SubProgramme 07 Presidential Initiatives,133,Programmme 11  Logistical and Administrative Support to the Presidency
