@CLASSIFICATION,@FREQ,@GLOBAL_DSD_TIME_SERIES_CODE,@INDICATOR_CODE,@REF_AREA,@REF_SECTOR,@TIME_FORMAT,@UNIT_MEASURE,@UNIT_MULT,db_key,value_1990,value_1991,value_1992,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
W0_S1_G13,A,A|GD|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,GD,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,,3.53103730617676,2.13044656569002,2.40677966101695,3.73197386210005,2.87108929368396,,,,1.82503840960939,2.32173888271658,3.2159123256476,1.61353339136753,3.71173429421902,5.61000729466747,8.54948292942743,5.54821827839003,0.96903234152652,2.31125041477217,1.39996105548753,2.43295497996868,2.85757752039384,0.997501111275745,1.38574763082542,4.21775629560588,,,
W0_S1_G13,A,A|GM|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,GM,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,3.06684676906509,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|CH|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,CH,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|SV|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,SV,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,12.5622279155992,9.64790058369422,4.47209767074748,3.88152205246469,3.74740279014544,0,1.01982453589259,0.379893486128948,0.628726558076014,0.15162819803124,4.05734646952232,0.131038826587126,0.0887695974613293,0.684535479540364,0.154446997461752,0.200657548350864,0.0981095053016867,0.21636516471109,0.143717045401521,0.151009147669522,0.126527315426528,0.693634124205886,0.199045923337925,0.194243333921949,0.188254165449306,0.127158324140287,0.0644191908946723,
W0_S1_G13,A,A|BY|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,BY,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,,,0.143049124356793,0.00675323565865867,0,0,0,0.0102495746989754,0,0,0.000985349818892703,0,0.0131990382836384,0.075834427714902,0.0460155318222487,0,0,0,0,0,0.00808372048821523,3.25473156601409E-05,9.13047392455342E-05,0.000115716908818326,,0.93079542374742,1.55067417362338,
W0_S1_G13,A,A|CN|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,CN,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,2.52898103986746,2.21612454511768,2.04359109921219,1.67214014474076,1.16769566980561,0.991240527493784,0.837557837973092,0.754516247488238,0.698474414985424,0.658527509126757,0.59566404474084,0.531234995664114,0.521672985992103,0.447241008188169,0.373087187292735,0.376318275028517,0.355911778848042,0.317553237212889,0.518175757424665,0.00187491067282299,0,0,,0,0,0,,
W0_S1_G13,A,A|MO|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,MO,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,,,,,,,,,,,,0.0088449708597338,0.0718099037840411,0.0654155561235046,0,0,0,0,0,0,0,0,0.244567940014775,0.000544377405217729,0,0,0,
W0_S1_G13,A,A|PL|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,PL,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|KW|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,KW,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
W0_S1_G13,A,A|MT|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,MT,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,1.01259096325172,1.95104556817342,1.78095633031011,0.85523318627017,1.19156237109638,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|LT|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,LT,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,,,,,,,,,,,,,,,,,,,,,3.48854700366781,3.00636039501715,2.65568370881348,2.25087194093126,2.00406668488658,1.88213391194867,1.11446422378317,
W0_S1_G13,A,A|TZ|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,TZ,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,,,,,,,,,,,,,,,,,,,,6.34364658315946,5.45956604743388,4.40247082785193,3.36008337640955,4.41480894126847,1.84773857662678,2.94745619666893,0.463454389463578,
W0_S1_G13,A,A|ML|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,ML,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,,,,,,,,,,,4.27814735228396,3.29250495453907,3.16479699196231,4.19857391068741,3.5915031918485,3.4911378225318,35.3813877955129,4.91039741431843,3.32348556156346,3.83892211470837,2.48089456127212,3.38929468320093,0.307641374544264,3.2906608002758,1.34104920733707,1.59005812779481,1.89743876486484,
W0_S1_G13,A,A|ET|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,ET,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,0.397004635682872,0.542849700442824,0.589168911119661,0.995463237223951,2.67111440573264,1.9734395750332,2.13848911381728,2.45366768055457,1.41658285069458,0.730243423445335,,4.22877406480434,1.9829724957008,2.66286379010706,6.56731770180102,5.0145222764068,1.42690616233019,1.48288432089395,4.59568141612713,4.76275464793724,4.92368685032988,4.19304865425475,,,,,,
W0_S1_G13,A,A|BF|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,BF,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,,,,,,,,,,,,,3.89488735423381,5.45653910587204,4.5916787636602,4.56388731458659,5.59045830667142,6.48024615126249,3.91994170640152,5.8815678492134,4.47300435968405,5.01292210258557,4.86794496979078,5.50123576774266,4.21363873705148,3.48872634182485,2.50778609173068,
W0_S1_G13,A,A|PW|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,PW,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,,,,,,,,,,,,,,,,,,,23.5866347313828,22.4267697553404,27.1460999857413,22.9675941613347,22.4454237447371,18.4417485449656,19.1945936544278,14.7273700094674,15.8748094658069,
W0_S1_G13,A,A|BA|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,BA,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,,,,,,,,,,,,,,0.343647585334211,0.245722940549165,0.293551488164265,0.112010609315864,0.146049268225383,0.119931532844202,0.367939039747939,0.178326162737062,0.23960827460131,0.172163002939379,0.228802052409219,0.504791200369257,0.159350141574189,0.0746506605602845,
W0_S1_G13,A,A|GH|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,GH,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,1.36935530392,1.49374055109515,1.16651652321277,1.72056810845707,,,,,,,,4.93344047502303,2.02904316615004,3.43277484801003,4.58633759922489,3.98908443373857,3.88961735569444,4.09858898092803,2.9766402848376,3.16929089885676,2.54922886010847,2.25247133139295,,,,,,
W0_S1_G13,A,A|BJ|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,BJ,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,,,,,,,,,,,,2.05436221113713,0.469212343243624,1.78429817605075,2.33232856066315,2.03765095903386,1.74893383419496,2.81887255112385,1.74107121252348,2.43778445473263,1.51543145344728,2.18422874069186,1.12427854470215,1.019728072514,,,,
W0_S1_G13,A,A|KN|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,KN,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,0.802633568694964,1.16455897893718,0.591203151388268,0.114651711419699,0.28518763259486,,,,,,0.741329097167064,1.79546223088195,0.522464589453556,0.359285748571977,1.38266659768977,0.819269719615972,0.320357461030983,1.6262901147683,2.27645489468537,4.01814070981865,0.757167957467748,1.84215109831412,1.34577244987805,1.24465589329965,1.30827088645834,,,
W0_S1_G13,A,A|VU|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,VU,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,0,,,,,0,0,0,0,0,,,,,,,,,,7.07956447625044,6.66872818836418,6.09004839642741,3.00531657805703,2.19463609619672,4.44386858638082,11.661419479867,8.2308372874552,
W0_S1_G13,A,A|IN|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,IN,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,0.0999637683539227,0.140530617735347,0.118650308324472,0.111403469316116,0.0992740478137116,0.0927673352784861,0.0838455208422808,0.0647420598239121,0.0547306323052075,0.0547172068835705,0.0373838175476741,0.0743682134068079,0.0736498213429799,0.0759809275793659,0.0790201643948689,0.0818493946860146,0.0589097377838583,0.0545809326875354,0.0496264693449093,0.0484884598700491,0.0343262950725323,0.0339055224106117,0.0290111683451676,0.0129160915339278,,,,
W0_S1_G13,A,A|IE|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,IE,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,1.6051470252961,2.38355532640598,2.1725968708419,2.32598727734142,1.55188538315171,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|HU|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,HU,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,0,0.0888158746127499,0.249162670769246,0.111475345797742,0.0773594285379615,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G13,A,A|SB|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,SB,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,,,,,,,,,,,,,,,,,,,,,,6.09176908667753,5.5216896257937,17.4540763498765,14.5098949127749,12.8623607061533,9.50437148434817,
W0_S1_G13,A,A|SM|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,SM,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,,,,,,,,,,,,,0.429737739935817,0.406532417224764,0.37970176149408,0.36678214994223,0.0685080368205657,0.0636538297516515,0.0616855773349913,0.0673941440386473,0.0706358134893881,0.0733479915370226,0.0745280331440188,0.0722847916338117,,0.0679323982018718,0.0640292783519797,
W0_S1_G13,A,A|EE|S1311B|W0|S1|G13|_Z|_Z|_Z|XDC_R_B1GQ|_T|_X,GRG_G14_GDP_PT,EE,S1311B,P1Y,XDC_R_B1GQ,0,GFSR,,,,1.06037104036755,0,,,,,,,,,,,,,,,,,,,,,,,
