@CLASSIFICATION,@FREQ,@GLOBAL_DSD_TIME_SERIES_CODE,@INDICATOR_CODE,@REF_AREA,@REF_SECTOR,@TIME_FORMAT,@UNIT_MEASURE,@UNIT_MULT,db_key,value_2014,value_2015,value_2016
W0_S1_G1,A,A|BW|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BW,S1311B,P1Y,XDC,6,GFSR,55843.03,48553.25,57330.86
W0_S1_G1,A,A|SL|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,SL,S1311B,P1Y,XDC,9,GFSR,3185.68,,
W0_S1_G1,A,A|LV|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,LV,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|CR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CR,S1311B,P1Y,XDC,9,GFSR,3799.19923068649,4180.89591330069,4568.01680261765
W0_S1_G1,A,A|BO|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BO,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|IL|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,IL,S1311B,P1Y,XDC,6,GFSR,300430.293816958,318085.784862433,332141.485672584
W0_S1_G1,A,A|CL|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CL,S1311B,P1Y,XDC,9,GFSR,,,
W0_S1_G1,A,A|AF|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,AF,S1311B,P1Y,XDC,6,GFSR,278719.4690052,300382.25135637,
W0_S1_G1,A,A|ET|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,ET,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|BS|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BS,S1311B,P1Y,XDC,6,GFSR,1449.389,1697.671,1927.86799
W0_S1_G1,A,A|CF|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CF,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|HR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,HR,S1311B,P1Y,XDC,6,GFSR,114044.485,,
W0_S1_G1,A,A|TN|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,TN,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|JP|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,JP,S1311B,P1Y,XDC,9,GFSR,,,
W0_S1_G1,A,A|VU|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,VU,S1311B,P1Y,XDC,6,GFSR,18825.8763,26424.259,26896.871
W0_S1_G1,A,A|RS|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,RS,S1311B,P1Y,XDC,9,GFSR,,,
W0_S1_G1,A,A|DE|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,DE,S1311B,P1Y,XDC,9,GFSR,,,
W0_S1_G1,A,A|BB|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BB,S1311B,P1Y,XDC,6,GFSR,2397.318623,2537.258828,
W0_S1_G1,A,A|AO|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,AO,S1311B,P1Y,XDC,9,GFSR,4423.85918207284,2619.39661366396,2601.71894631449
W0_S1_G1,A,A|JO|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,JO,S1311B,P1Y,XDC,6,GFSR,7267.6,6796.3,7069.6
W0_S1_G1,A,A|BR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BR,S1311B,P1Y,XDC,9,GFSR,1410.4889029219,1578.16231418705,1675.08975032166
W0_S1_G1,A,A|MU|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,MU,S1311B,P1Y,XDC,6,GFSR,81226.1,40944.2,89945.597
W0_S1_G1,A,A|CO|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CO,S1311B,P1Y,XDC,9,GFSR,158059.21376,148879.530172,170606.080399025
W0_S1_G1,A,,,CS,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|PH|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,PH,S1311B,P1Y,XDC,9,GFSR,1906.699,2046.755,2195.746
W0_S1_G1,A,A|UY|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,UY,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|RU|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,RU,S1311B,P1Y,XDC,9,GFSR,15297.1083466799,13947.3525360982,13011.526
W0_S1_G1,A,A|PL|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,PL,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|AE|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,AE,S1311B,P1Y,XDC,6,GFSR,45221.4478215,46116.04239425,47475.95692535
W0_S1_G1,A,A|MG|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,MG,S1311B,P1Y,XDC,9,GFSR,3254.6022,3481.612,4761.29463822116
W0_S1_G1,A,A|PE|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,PE,S1311B,P1Y,XDC,6,GFSR,110356.236977139,102665.110666513,101475.283308899
W0_S1_G1,A,,,VE,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|SC|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,SC,S1311B,P1Y,XDC,6,GFSR,5932.44565943,6349.00565548,7162.09239081
W0_S1_G1,A,A|LR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,LR,S1311B,P1Y,XDC,3,GFSR,,,
W0_S1_G1,A,A|KR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,KR,S1311B,P1Y,XDC,12,GFSR,338.934334894805,353.546495271992,387.221825100828
W0_S1_G1,A,A|RW|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,RW,S1311B,P1Y,XDC,9,GFSR,1338.82864767587,1406.08432414829,1501.40131337972
W0_S1_G1,A,A|FM|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,FM,S1311B,P1Y,XDC,3,GFSR,114060.6,110403.804,128154.041
W0_S1_G1,A,A|NI|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,NI,S1311B,P1Y,XDC,6,GFSR,53730.955,61470.25,70328
W0_S1_G1,A,A|NA|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,NA,S1311B,P1Y,XDC,6,GFSR,49953.63438521,52214.85301869,50999.7478
W0_S1_G1,A,A|NO|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,NO,S1311B,P1Y,XDC,9,GFSR,,,
W0_S1_G1,A,A|CG|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CG,S1311B,P1Y,XDC,9,GFSR,2831.8,1503.2,1290.8
