@CLASSIFICATION,@FREQ,@GLOBAL_DSD_TIME_SERIES_CODE,@INDICATOR_CODE,@REF_AREA,@REF_SECTOR,@TIME_FORMAT,@UNIT_MEASURE,@UNIT_MULT,db_key,value_1990,value_1991,value_1992,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
W0_S1_G1,A,A|CV|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CV,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,26762.464607499,30406.417656,32907.609060974,37190.475336,35230.0574813779,37213.38507356,37299.991782,33961.601576,,,,,
W0_S1_G1,A,A|TG|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,TG,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,,,170.144598352,163.461638324,199.264927397,223.674921753,249.856834558,318.041404808,336.386302899,401.23,412.26631550574,523.261,,620.736687568,695.214584201,
W0_S1_G1,A,A|ES|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,ES,S1311B,P1Y,XDC,9,GFSR,55.877297368769,62.5821884052745,68.0850552330124,69.5022417751494,71.5402738211148,90.746,97.91,99.905,107.68,116.459,124.769,133.461,132.896,137.632,149.785,166.71,185.844,205.349,172.691,140.439,168.279,175.552,183.595,180.735,185.399,190.922,187.808,
W0_S1_G1,A,A|LU|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,LU,S1311B,P1Y,XDC,6,GFSR,2515.40038522654,2796.26374879462,3068.67394316793,3348.74404745674,3715.42814930131,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G1,A,A|PT|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,PT,S1311B,P1Y,XDC,6,GFSR,10262.7667321755,,,,,,,,,,,,,,,,,,42609.9945779298,38655.1813176798,40177.77746016,42004.201,39419.14609835,43653.681,43820.387,44823.243999,46680.885,
W0_S1_G1,A,A|GB|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,GB,S1311B,P1Y,XDC,9,GFSR,,,,,,263.218,278.619,297.77,323.986,344.071,371.101,382.797,387.114,408.716,445.818,486.731,508.322,538.989,566.295,517.693,550.431,577.802,596.716,622.339,634.113,660.329,695.359,
W0_S1_G1,A,A|BY|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BY,S1311B,P1Y,XDC,9,GFSR,,,1.74E-06,2.045E-05,0.00040522,0.00217261,0.00310758,0.00648441,0.01297072,0.05481813,0.162082,0.291585,0.406264,0.67757641,1.032157,1.4573987,2.0064762,2.5745351,3.5762287567,3.227154366,3.2035495857,5.66497,10.1944,11.474,,17.56821534473,18.6134561466,
W0_S1_G1,A,A|MA|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,MA,S1311B,P1Y,XDC,6,GFSR,52385,57690,65652,70132,71992,71345,,82347,87052,93474,,,108032.969142857,109807.283142857,121112.049137085,138648.882484848,157978.579515152,184399.992353535,224087.154075061,214466.047626808,210389.679150735,223045.442516596,237739.114,250022.172,259346.525,260388.881,264385.476754,
W0_S1_G1,A,A|CH|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CH,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G1,A,A|US|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,US,S1311B,P1Y,XDC,9,GFSR,698.51,756.06,733.49,798.92,855.9,934.61,1005.05,1110.03,1208.78,1276.34,1439.26,1341.865,1161.922,1159.752,1249.479,1484.549,1668.856,1753.99,1642.328,1317.883,1498.36,1692.995,1784.202,2076.612,2179.475,2278.085,2252.582,
