"iso2","indicators"
"LT","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"LU","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"LV","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"MA","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"MU","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"MX","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"MY","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"NI","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"NL","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"NO","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"PA","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"PG","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"PL","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"PT","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"PY","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"RO","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"RU","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"SB","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"SC","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"SE","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
